source_id,entity_type,entity_name,field_name,field_value,field_unit,page,bbox,trace_id,extraction_method,extraction_confidence,measurement_method,condition_tags,context_snippet,raw_field
2007A&A...474..599P,s*r,Betelgeuse,teff,3641,K,1,"[830, 775, 870, 797]",doc16_p1,vlm_text,0.95,interferometry and spectroscopy,scope: global;metric: teff,Perrin et al. (2004a) have shown that the near-infrared structure of Betelgeuse can be described by two main components: a photosphere of temperature 3641 ± 53 K and a gaseous shell...,
2009A&A...508..923H,s*r,Betelgeuse,teff,3600 ± 66,K,1,"[102, 496, 138, 516]",doc8_p1,vlm_text,0.98,interferometric observations with MIRA and WISARD algorithms,scope: global;metric: teff,These measurements lead us to derive an updated effective temperature of 3600 ± 66 K.,
2009A&A...508..923H,s*r,Betelgeuse,teff,3600 ± 66,K,6,"[83, 928, 122, 949]",doc8_p6,vlm_text,0.98,bolometric flux and limb darkening model,scope: global;metric: teff,We propose the updated slightly lower value of 3600 ± 66 K for the effective temperature of Betelgeuse.,
2009AJ....137.3558S,s*r,Betelgeuse,stellar_mass,17.5,Msun,5,"[365, 528, 388, 545]",doc5_p5,vlm_text,0.95,derived from luminosity and evolutionary tracks,scope: global;metric: stellar_mass,"At a distance of 152-197 pc, the star's luminosity is roughly 0.9-1.5x10^5 L_sun, implying an initial mass of 15-20 M_sun.",
2010A&A...515A..12C,s*r,Betelgeuse,stellar_radius,832,Rsun,2,"[384, 647, 416, 668]",doc30_p2,vlm_text,0.98,simulation,scope: global;metric: stellar_radius,"The model has 12 M_sun, a numerical resolution of 235^3 grid points with a step of 8.6 R_sun, an average luminosity over spherical shells and over time of L=93000±1300 L_sun, an effective temperature ",
2010A&A...515A..12C,s*r,Betelgeuse,teff,3490,K,2,"[203, 647, 244, 668]",doc30_p2,vlm_text,0.98,simulation,scope: global;metric: teff,"The model has 12 M_sun, a numerical resolution of 235^3 grid points with a step of 8.6 R_sun, an average luminosity over spherical shells and over time of L=93000±1300 L_sun, an effective temperature ",
2010A&A...516L...2A,s*r,Betelgeuse,teff,3750,K,2,"[439, 236, 497, 253]",doc13_p2,vlm_text,0.95,spectral line mask calculation,scope: global;metric: teff,"We used a solar abundance line mask calculated from data provided by VALD (Kupka et al. 1999) for an effective temperature of 3750 K, log g = 0.0, and a microturbulence of 4.0 km s−1, consistent with ",
2011A&A...529A.163O,s*r,Betelgeuse,teff,3690,K,3,"[562, 677, 602, 698]",doc32_p3,vlm_text,0.98,interferometry and bolometric flux fitting,scope: global;metric: teff,The limb-darkened disk diameter derived from the K-band continuum data and a bolometric flux of (111.67 ± 6.49) × 10−13 W cm−2 (Perrin et al. 2004) lead to an effective temperature of 3690±54 K. We pr,
2011A&A...531A.117K,s*r,Betelgeuse,stellar_radius,3.4,AU,8,"[742, 223, 795, 239]",doc7_p8,vlm_text,0.95,interferometry,scope: global;metric: stellar_radius,"Considering this distance of 152 ± 20 pc, the photosphere (~44 mas in the K band, Perrin et al. 2004) has a linear radius of 3.4 AU, and the shell (angular radius of 0.9'') is located at ≈ 134 AU.",
2011ApJ...740...24R,s*r,Betelgeuse,stellar_radius,950.0,Rsun,1,"[323, 278, 355, 296]",doc11_p1,vlm_text,0.85,interferometry and photometry,scope: global;metric: stellar_radius,"Its large angular diameter (0.047'', Michelson & Pease 1921) and high apparent magnitude (M_K = -4.38) make it an excellent subject for high spatial resolution studies.",
2012A&A...548A.113D,s*r,Betelgeuse,stellar_mass,20,Msun,14,"[67, 282, 950, 906]",doc24_p14,vlm_table,0.98,model,scope: global;metric: stellar_mass,Table 2: Physical parameters of the envelope of Betelgeuse. ... Stellar mass M* = 20 Msun,
