source_id,entity_type,entity_name,field_name,field_value,field_unit,page,bbox,trace_id,extraction_method,extraction_confidence,measurement_method,condition_tags,context_snippet,raw_field
1978ApJ...225L.115M,Sy1,NGC 4151,xray_photon_index,1.42,,3,"[293, 482, 419, 504]",doc26_p3,vlm_text,0.98,spectral fitting,scope: global;metric: xray_photon_index,The spectrum can be fit by a power law with photon index α ~ 1.42 ± 0.06 and column density N_H ~ 7.5 ± 0.5 x 10^22 at/cm^2.,
1978ApJ...225L.115M,Sy1,NGC 4151,xray_photon_index,1.42,,4,"[0, 0, 1000, 1000]",doc26_p4,vlm_text,0.98,spectral fitting,scope: global;metric: xray_photon_index,At all times during our observation the spectrum (Figure 2) can be adequately fit by a power law with photon index α = 1.42 ± .06 and with absorption due to cold material in the line of sight,
2003MNRAS.342.1222C,Sy1,NGC 4151,black_hole_mass,7.08,Msun,14,"[326, 429, 359, 446]",doc21_p14,vlm_text,0.95,reverberation mapping,scope: global;metric: black_hole_mass,"The masses of the central black holes estimated from reverberation studies are log M = 7.83 for NGC 5548 (Peterson & Wandel 1999) and log M = 7.08 for NGC 4151 (Wandel, Peterson, & Malkan 1999).",
2005AJ....130..936U,Sy1,NGC 4151,black_hole_mass,1.2e7,Msun,2,"[718, 765, 731, 780]",doc17_p2,vlm_text,0.95,reverberation mapping / virial mass estimation,scope: global;metric: black_hole_mass,"Assuming that the line widths are largely virialized around a central massive black hole, Wandel et al. (1999) determined a central black hole mass of ≃ 1.2 × 10^7 M_☉.",
2005ApJ...634..939B,Sy1,NGC 4151,xray_photon_index,1.5,,2,"[90, 524, 118, 542]",doc32_p2,vlm_text,0.95,ASCA observations,scope: global;metric: xray_photon_index,The harder continuum at 2 - 10 keV as studied by ASCA shows a flatter spectrum with Γ ~ 1.5 (Weaver et al. 1994).,
2005ApJ...634..939B,Sy1,NGC 4151,xray_photon_index,1.53,,4,"[373, 806, 408, 824]",doc32_p4,vlm_text,0.95,spectral fitting (INTEGRAL data),scope: global;metric: xray_photon_index,"The best fit values are Γ = 1.53 +0.04 -0.04, EC = 124 +21 -16 keV, and NH = 5.1 +0.7 -0.7 × 10^22 cm^-2.",
2005ApJ...634..939B,Sy1,NGC 4151,xray_photon_index,1.85,,4,"[685, 579, 695, 593]",doc32_p4,vlm_text,0.95,spectral fitting (PEXRAV model),scope: global;metric: xray_photon_index,"The free parameters in the PEXRAV model are best fitted with a photon index of Γ = 1.85 +0.09 -0.09, a hydrogen column density of NH = 6.9 +0.8 -0.4 × 10^22 cm^-2",
2005ApJ...634..939B,Sy1,NGC 4151,xray_photon_index,1.85,,7,"[731, 257, 767, 275]",doc32_p7,vlm_text,0.95,spectral fitting,scope: global;metric: xray_photon_index,"The observations show that the underlying continuum is significantly steeper, with Γ = 1.85 +0.09 -0.09 (Schurch & Warwick 2002), instead of Γ = 1.65 +0.02 -0.03 (Schurch & Warwick 2002)",
2005ApJ...634..939B,Sy1,NGC 4151,xray_photon_index,1.85,,8,"[90, 419, 126, 436]",doc32_p8,vlm_text,0.95,spectral fitting (PEXRAV model),scope: global;metric: xray_photon_index,"A Compton reflection model (PEXRAV) results in an underlying power-law with Γ = 1.85 +0.09 -0.09, a hydrogen column density of NH = 6.9 +0.8 -0.4 × 10^22 cm^-2",
2005ApJ...634..939B,Sy1,NGC 4151,xray_photon_index,1.79,,12,"[90, 513, 766, 809]",doc32_p12,vlm_table,0.95,spectral fitting (Power law model),scope: global;metric: xray_photon_index,"Table 2: Spectral fits to average INTEGRAL (2 - 300 keV) and OSSE (50 - 600 keV) spectra. Model: Power law, Mission: INTEGRAL, Photon Index: 1.79 ± 0.02",
2005ApJ...634..939B,Sy1,NGC 4151,xray_photon_index,1.53,,12,"[90, 513, 766, 809]",doc32_p12,vlm_table,0.95,spectral fitting (PL-exp model),scope: global;metric: xray_photon_index,"Table 2: Spectral fits to average INTEGRAL (2 - 300 keV) and OSSE (50 - 600 keV) spectra. Model: PL-exp, Mission: INTEGRAL, Photon Index: 1.53 +0.04 -0.04",
2005ApJ...634..939B,Sy1,NGC 4151,xray_photon_index,1.85,,12,"[90, 513, 766, 809]",doc32_p12,vlm_table,0.95,spectral fitting (PEXRAV model),scope: global;metric: xray_photon_index,"Table 2: Spectral fits to average INTEGRAL (2 - 300 keV) and OSSE (50 - 600 keV) spectra. Model: PEXRAV, Mission: INTEGRAL, Photon Index: 1.85 +0.09 -0.09",
2005ApJ...634..939B,Sy1,NGC 4151,xray_photon_index,1.61,,12,"[90, 513, 766, 809]",doc32_p12,vlm_table,0.95,spectral fitting (PEXRAV model),scope: global;metric: xray_photon_index,"Table 2: Spectral fits to average INTEGRAL (2 - 300 keV) and OSSE (50 - 600 keV) spectra. Model: PEXRAV, Mission: INTEGRAL+CGRO, Photon Index: 1.61 +0.06 -0.06",
2006ApJ...647..901M,Sy1,NGC 4151,black_hole_mass,(4.14 ± 0.73) × 10^7,Msun,1,"[293, 455, 333, 475]",doc11_p1,vlm_text,0.98,reverberation mapping,scope: global;metric: black_hole_mass,"Despite the problematic nature of some of the data, we are able to measure a mass of (4.14 ± 0.73) × 10^7 M_sun, although this, like all reverberation-based masses, is probably systematically uncertai",
2006ApJ...647..901M,Sy1,NGC 4151,black_hole_mass,(2.58 ± 0.35) × 10^7,Msun,8,"[426, 848, 467, 868]",doc11_p8,vlm_text,0.95,reverberation mapping,scope: global;metric: black_hole_mass,"If we use all of the data in Fig. 5, we find a black hole mass M_BH = (2.58 ± 0.35) × 10^7 M_sun, based on a weighted average of the individual mass estimates for each line.",
2006ApJ...647..901M,Sy1,NGC 4151,black_hole_mass,(8.55 ± 1.26) × 10^7,Msun,9,"[690, 137, 730, 157]",doc11_p9,vlm_text,0.95,reverberation mapping,scope: global;metric: black_hole_mass,"points from the present work, we obtain a mass estimate of M_BH = (8.55 ± 1.26) × 10^7 M_sun.",
2006ApJ...647..901M,Sy1,NGC 4151,black_hole_mass,(4.14 ± 0.73) × 10^7,Msun,9,"[190, 197, 230, 217]",doc11_p9,vlm_text,0.98,reverberation mapping,scope: global;metric: black_hole_mass,"Our preferred estimate is obtained by eliminating the most problematic data, leaving only C III], He II, and Mg II from the two UV campaigns. The resulting mass estimate is M_BH = (4.14 ± 0.73) × 10^7",
2006ApJ...647..901M,Sy1,NGC 4151,black_hole_mass,(4.14 ± 0.73) × 10^7,Msun,9,"[362, 526, 402, 546]",doc11_p9,vlm_text,0.98,reverberation mapping,scope: global;metric: black_hole_mass,"Based on the subset of lines that we regard as most reliable, we provide an estimate of the black hole mass of M_BH = (4.14 ± 0.73) × 10^7 M_sun.",
2006ApJ...651..775B,Sy1,NGC 4151,fwhm_broad_hbeta,4711,km/s,6,"[585, 717, 630, 737]",doc5_p6,vlm_text,0.98,reverberation mapping / rms spectrum,scope: global;metric: fwhm_broad_hbeta,The Hβ emission-line width measurements we determined from the rms spectrum for NGC 4151 are σline = 2680 ± 64 km s⁻¹ and FWHM = 4711 ± 750 km s⁻¹ in the restframe of NGC 4151.,
