source_id,entity_type,entity_name,field_name,field_value,field_unit,page,bbox,trace_id,extraction_method,extraction_confidence,measurement_method,condition_tags,context_snippet,raw_field
2005ApJ...630L..69L,WD*,Sirius B,cooling_age,124,Myr,1,"[295, 450, 406, 470]",doc5_p1,vlm_text,0.95,theoretical cooling models,scope: global;metric: cooling_age,"Because the Sirius B white dwarf parameters have also been determined accurately from space observations, the cooling age could be determined from recent calculations by Fontaine et al. or Wood to be ",
2005ApJ...630L..69L,WD*,Sirius B,cooling_age,123.6,Myr,6,"[356, 528, 482, 548]",doc5_p6,vlm_text,0.95,theoretical cooling models,scope: global;metric: cooling_age,"Having said this, it is interesting and reassuring that the 1.00 M_sun C,O sequence of Wood (2005, private communication) reaches a cooling age of 123.3 Myr at 25,000 K, while the Fontaine et al. (200",
2005ApJ...630L..69L,WD*,Sirius B,mass,5.056,Msun,1,"[552, 470, 602, 490]",doc5_p1,vlm_text,0.95,derived from age difference,scope: global;metric: mass,"The difference of the two ages yields the nuclear lifetime and mass of the original primary star, 5.056+0.374-0.276 M_sun.",
2005ApJ...630L..69L,WD*,Sirius B,mass,1.0,Msun,5,"[241, 867, 282, 887]",doc5_p5,vlm_text,0.98,astrometric analysis and gravitational redshift,scope: global;metric: mass,"Note that these mass determinations are generally below previous estimates in earlier literature. For this study, we shall adopt 1.00±0.02M_sun for Sirius B.",
2005MNRAS.362.1134B,WD*,Sirius B,mass,0.978,Msun,1,"[839, 491, 879, 508]",doc4_p1,vlm_text,0.98,evolutionary mass-radius relation,scope: global;metric: mass,we get a best estimate for the white dwarf mass of 0.978 M_sun.,
2005MNRAS.362.1134B,WD*,Sirius B,mass,1.02,Msun,1,"[686, 504, 719, 520]",doc4_p1,vlm_text,0.98,gravitational redshift,scope: global;metric: mass,this is in agreement with a mass of 1.02 M_sun obtained by matching our new gravitational red-shift to the theoretical M/R relation.,
2005MNRAS.362.1134B,WD*,Sirius B,mass,0.978 ± 0.005,Msun,10,"[731, 885, 776, 903]",doc4_p10,vlm_text,0.98,spectroscopy and theoretical mass-radius relation,scope: global;metric: mass,"Our best estimates of M and R from this approach are 0.978 ± 0.005 M_sun and 0.00864 ± 0.00012 R_sun, respectively.",
2005MNRAS.362.1134B,WD*,Sirius B,mass,1.02 ± 0.02,Msun,10,"[369, 694, 405, 711]",doc4_p10,vlm_text,0.98,gravitational redshift,scope: global;metric: mass,"The gravitational red-shift gives us an estimate of M/R directly, which can also be compared to the Wood (1995) models, yielding M = 1.02 ± 0.02 and R = 0.0081 ± 0.0002.",
2005MNRAS.362.1134B,WD*,Sirius B,surface_gravity,8.556,dex,1,"[734, 418, 774, 434]",doc4_p1,vlm_text,0.98,spectroscopy,scope: global;metric: surface_gravity,determination of the stellar temperature (Teff = 25193K) and gravity (log g = 8.556).,
2005MNRAS.362.1134B,WD*,Sirius B,surface_gravity,8.556,dex,6,"[57, 138, 911, 328]",doc4_p6,vlm_table,0.98,spectroscopy,scope: global;metric: surface_gravity,Table 2. Summary of the physical parameters of Sirius B... HST Results... log g 8.556,
2006A&A...458..541B,WD*,Sirius B,surface_gravity,8.6,dex,8,"[83, 119, 906, 760]",doc10_p8,vlm_table,0.95,simultaneous fit,scope: global;metric: surface_gravity,"Table 2. Parameters of HZ43 A, Sirius B, and RX J1856 based on the simultaneous fit... (b) Sirius B (λ = 74 – 160 Å) ... log g 8.6 f 1",
2008A&A...489..651B,WD*,Sirius B,surface_gravity,8.556,dex,4,"[406, 838, 450, 855]",doc9_p4,vlm_text,0.98,spectroscopy,scope: global;metric: surface_gravity,"The optical photometry as well as the temperature and gravity of the white dwarf (logT=25 190K, logg=8.556) were determined accurately using HST Balmer lines spectroscopy (Barstow et al. 2005).",
2017ApJ...840...70B,WD*,Sirius B,cooling_age,126,Myr,2,"[238, 337, 273, 357]",doc3_p2,vlm_text,0.95,theoretical cooling tracks,scope: global;metric: cooling_age,"The location of Sirius B in the H-R diagram is in excellent agreement with theoretical cooling tracks for WDs of its dynamical mass, and implies a cooling age of ~126 Myr.",
2017ApJ...840...70B,WD*,Sirius B,cooling_age,126,Myr,15,"[563, 427, 641, 447]",doc3_p15,vlm_text,0.98,interpolation in theoretical data,scope: global;metric: cooling_age,"By interpolation in the theoretical data, we estimate the cooling age of Sirius B to be 126 Myr. This agrees very well with an earlier determination of 124 Myr in a study of the Sirius system by Liebe",
2017ApJ...840...70B,WD*,Sirius B,cooling_age,126,Myr,23,"[536, 157, 613, 177]",doc3_p23,vlm_text,0.98,theoretical modeling,scope: global;metric: cooling_age,"Taking the YREC age, and subtracting the 126 Myr cooling age of Sirius B (§8), we find a pre-WD evolutionary timescale for the progenitor of about 111 Myr.",
2017ApJ...840...70B,WD*,Sirius B,cooling_age,126,Myr,24,"[743, 267, 820, 287]",doc3_p24,vlm_text,0.98,theoretical cooling track,scope: global;metric: cooling_age,"The position of Sirius B in the H-R diagram is in excellent agreement with a theoretical cooling track for a WD of its measured mass, and implies a cooling age of 126 Myr.",
2018ApJ...866...21C,WD*,Sirius B,mass,1.02,Msun,5,"[156, 75, 844, 710]",doc1_p5,vlm_table,0.95,spectroscopic and cooling model analysis,scope: global;metric: mass,TABLE 1 - continued from previous page ... Sirius B 26000±400 8.57±0.04 0.982±0.024 99+10 -10 4.58+0.41 -0.41 4.88+0.35 -0.35 -,
2018MNRAS.479.1612J,WD*,Sirius B,mass,1.018,Msun,2,"[797, 266, 838, 282]",doc7_p2,vlm_text,0.98,dynamical,scope: global;metric: mass,Bond et al. (2017a) used 150 years of observations to determine the orbit of Sirius B and calculate its mass (1.018 ± 0.011 Msun).,
2018MNRAS.479.1612J,WD*,Sirius B,mass,0.927,Msun,8,"[0, 0, 1000, 1000]",doc7_p8,vlm_table,0.95,spectroscopic,scope: global;metric: mass,Table 4. Mass and radius values calculated using the spectroscopic parameters listed in Table 3. ... Sirius B Average HST ... Mass (Msun) 0.927 ± 0.107,
2018MNRAS.479.1612J,WD*,Sirius B,mass,1.018,Msun,14,"[592, 169, 633, 186]",doc7_p14,vlm_text,0.98,dynamical,scope: global;metric: mass,In Fig. 9 we have combined the Bond et al. (2017a) dynamical mass (1.018 ± 0.011 Msun) with the radius measured from our spectral fitting...,
2018MNRAS.479.1612J,WD*,Sirius B,mass,1.018,Msun,15,"[151, 131, 806, 268]",doc7_p15,vlm_table,0.98,dynamical,scope: global;metric: mass,"Table 6. Comparison of mass and radius results for Sirius B... Dynamical mass, (Bond et al. 2017a) ... Mass (Msun) 1.018 ± 0.011",
2018MNRAS.481.2361J,WD*,Sirius B,mass,1.017,Msun,1,"[629, 526, 673, 544]",doc6_p1,vlm_text,0.98,gravitational redshift,scope: global;metric: mass,"From the measured gravitational redshift and the known radius, we find a mass of 1.017 ± 0.025 M_sun which is in agreement with the dynamical mass...",
2018MNRAS.481.2361J,WD*,Sirius B,mass,1.017,Msun,8,"[65, 113, 775, 357]",doc6_p8,vlm_table,0.98,gravitational redshift,scope: global;metric: mass,"Table 3. Measured wavelength, velocity and mass. ... Differential ... 1.017 ± 0.025",
2018MNRAS.481.2361J,WD*,Sirius B,mass,1.036,Msun,8,"[65, 113, 775, 357]",doc6_p8,vlm_table,0.95,gravitational redshift,scope: global;metric: mass,"Table 3. Measured wavelength, velocity and mass. ... Centre ... Differential ... 1.036 ± 0.025",
2018MNRAS.481.2361J,WD*,Sirius B,mass,1.017,Msun,10,"[166, 720, 207, 737]",doc6_p10,vlm_text,0.98,gravitational redshift,scope: global;metric: mass,5 CONCLUSIONS The mass of Sirius B as measured by the gravitational redshift method is 1.017 ± 0.025 M_sun. This matches the dynamical mass 1.018 ± 0.011 M_sun of Bond et al. (2017b) almost exactly.,
2019MNRAS.484.2711R,WD*,Sirius B,mass,0.974,Msun,9,"[67, 123, 918, 336]",doc8_p9,vlm_table,0.95,spectroscopic and evolutionary tracks,scope: global;metric: mass,"Table 3. Stellar mass determinations for different hydrogen envelope layers, considering the spectroscopic atmospheric parameters for 40 Eridani B (left) and Sirius B (right)... 2.02 x 10^-6 0.974 ± 0",
2019MNRAS.484.2711R,WD*,Sirius B,mass,1.018,Msun,9,"[85, 451, 918, 957]",doc8_p9,vlm_table,0.95,dynamical,scope: global;metric: mass,Table 3... Bond et al. (2017a) 1.018 ± 0.011,
2019MNRAS.484.2711R,WD*,Sirius B,mass,1.017,Msun,9,"[85, 451, 918, 957]",doc8_p9,vlm_table,0.95,gravitational redshift,scope: global;metric: mass,Table 3... Joyce et al. (2018b) 1.017 ± 0.025,
2019MNRAS.484.2711R,WD*,Sirius B,mass,0.978,Msun,9,"[85, 451, 918, 957]",doc8_p9,vlm_table,0.95,fully spectroscopical,scope: global;metric: mass,Table 3... Barstow et al. (2005) 0.978 ± 0.005,
2022AJ....163...81L,WD*,Sirius B,mass,1.018,Msun,4,"[79, 81, 922, 717]",doc2_p4,vlm_table,0.98,dynamical mass derivation,scope: global;metric: mass,Table 1. Parameters of the Sirius system adopted in this study. ... Sirius B ... M* 1.018 ± 0.011 M_sun B17,
2026MNRAS.545f1811B,WD*,Sirius B,mass,1.018,Msun,7,"[67, 72, 924, 707]",doc0_p7,vlm_table,0.99,observation,scope: global;metric: mass,Table 1. Observed data for the white dwarf mass radius relation ... 0.008098 ± 0.000046 1.018 ± 0.011 25369 ± 63 d Sirius B,
